Giocatore,Squadra,Ruolo,PrezzoIniziale,PrezzoAttuale
Iannoni,Sassuolo,C,1,4
Ilic,Torino,C,7,2
Iling Junior,Pisa,C,5,5
Ilkhan,Torino,C,1,4
Isaksen,Lazio,C,14,15
Jashari,Milan,C,13,4
Karlstrom,Udinese,C,6,10
Keita M.,Parma,C,6,8
Konè I.,Sassuolo,C,6,16
Konè M.,Roma,C,14,16
Koopmeiners,Juventus,C,14,4
Kostic,Juventus,C,4,13
Lahdo,Como,C,2,2
Leris,Pisa,C,2,11
Lipani,Sassuolo,C,4,4
Liteta,Cagliari,C,1,1
Lobotka,Napoli,C,9,10
Locatelli,Juventus,C,12,14
Loftus-Cheek,Milan,C,8,14
Lorran,Pisa,C,7,7
Lovric,Verona,C,9,3
Loyola,Pisa,C,7,7
Luis Henrique,Inter,C,7,9
Maldini,Lazio,C,9,4
Maleh,Cremonese,C,6,4
Malinovskyi,Genoa,C,8,17
Mandragora,Fiorentina,C,14,20
Marchwinski,Lecce,C,1,1
Marin M.,Pisa,C,6,4
Masini,Genoa,C,5,5
Matic,Sassuolo,C,4,10
Mazzitelli,Cagliari,C,5,13
McKennie,Juventus,C,10,17
McTominay,Napoli,C,26,25
Messias,Genoa,C,8,8
Miller L.,Udinese,C,3,4
Miretti,Juventus,C,5,11
Mkhitaryan,Inter,C,9,10
Modric,Milan,C,12,20
Moro N.,Bologna,C,3,8
Musah,Atalanta,C,6,5
Ndour,Fiorentina,C,2,6
Neres,Napoli,C,13,16
Ngom,Lecce,C,1,1
Niasse,Verona,C,3,4
Nicolussi Caviglia,Parma,C,9,4
Odgaard,Bologna,C,16,16
Onana J.,Genoa,C,2,2
Ondrejka,Parma,C,13,4
Ordonez C.,Parma,C,5,4
Oristanio,Parma,C,12,4
Orsolini,Bologna,C,30,22
Pasalic,Atalanta,C,9,13
Payero,Cremonese,C,4,7
Paz N.,Como,C,20,28
Pellegrini Lo.,Roma,C,11,15
Perrone,Como,C,8,16
Piccinini G.,Pisa,C,6,4
Pierotti,Lecce,C,10,6
Piotrowski,Udinese,C,6,8
Pisilli,Roma,C,7,7
Pobega,Bologna,C,8,10
Politano,Napoli,C,15,10
Prati,Torino,C,3,6
Przyborek,Lazio,C,2,2
Pulisic,Milan,C,28,30
Rabiot,Milan,C,23,26
Ramadani,Lecce,C,6,5
Ricci S.,Milan,C,10,13
Rovella,Lazio,C,8,3
Rowe,Bologna,C,14,8
Sabiri,Fiorentina,C,2,2
Saelemaekers,Milan,C,12,19
Sala A.,Lecce,C,3,1
Samardzic,Atalanta,C,12,10
Santos A.,Napoli,C,7,7
Serdar,Verona,C,5,11
Sergi Roberto,Como,C,4,3
Sohm,Bologna,C,12,4
Sorensen O.,Parma,C,6,7
Sottil,Lecce,C,11,12
Stengs,Pisa,C,11,1
Strefezza,Parma,C,10,10
Sucic P.,Inter,C,9,11
Sulemana I.,Cagliari,C,4,7
Suslov,Verona,C,9,1
Tameze,Torino,C,5,4
Taylor K.,Lazio,C,14,14
Thorsby,Cremonese,C,5,15
Thorstvedt,Sassuolo,C,8,11
Thuram K.,Juventus,C,16,14
Tourè I.,Pisa,C,6,10
Tramoni M.,Pisa,C,12,9
Vandeputte,Cremonese,C,12,13
Venturino,Roma,C,3,2
Vergara,Napoli,C,1,7
Vlasic,Torino,C,15,17
Volpato,Sassuolo,C,5,12
Vranckx,Sassuolo,C,4,2
Vural,Pisa,C,3,2
Zaccagni,Lazio,C,26,13
Zalewski,Atalanta,C,6,15
Zambo Anguissa,Napoli,C,15,17
Zaniolo,Udinese,C,11,20
Zaragoza,Roma,C,7,7
Zarraga,Udinese,C,2,2
Zerbin,Cremonese,C,3,6
Zhegrova,Juventus,C,19,9
Zielinski,Inter,C,4,23
Acerbi,Inter,D,9,5
Ahanor,Atalanta,D,6,4
Akanji,Inter,D,9,13
Albiol,Pisa,D,5,2
Angelino,Roma,D,15,7
Angori,Pisa,D,5,9
Arizala,Udinese,D,1,1
Athekame,Milan,D,6,4
Barbieri,Cremonese,D,3,9
Bartesaghi,Milan,D,3,13
Baschirotto,Cremonese,D,8,12
Bastoni,Inter,D,16,17
Belghali,Verona,D,4,10
Bella-Kotchap,Verona,D,6,4
Bellanova,Atalanta,D,13,6
Bernasconi,Atalanta,D,1,10
Bertola,Udinese,D,6,6
Beukema,Napoli,D,10,7
Bianchetti,Cremonese,D,3,5
Biraghi,Torino,D,8,2
Bisseck,Inter,D,9,15
Bozhinov,Pisa,D,2,2
Bradaric,Verona,D,4,4
Bremer,Juventus,D,13,18
Britschgi,Parma,D,1,6
Buongiorno,Napoli,D,13,9
Cabal,Juventus,D,5,10
Calabresi,Pisa,D,3,5
Cambiaso,Juventus,D,15,8
Candè,Sassuolo,D,6,2
Canestrelli,Pisa,D,3,5
Caracciolo A.,Pisa,D,4,5
Carboni F.,Parma,D,2,2
Carlos Augusto,Inter,D,10,13
Casale,Bologna,D,4,2
Ceccherini,Cremonese,D,4,2
Celik,Roma,D,7,14
Cham,Verona,D,1,2
Circati,Parma,D,5,10
Coco,Torino,D,8,11
Comuzzo,Fiorentina,D,7,6
Coppola F.,Pisa,D,1,2
Coulibaly W.,Sassuolo,D,3,1
Cuadrado,Pisa,D,7,7
Darmian,Inter,D,4,3
De Silvestri,Bologna,D,4,2
De Vrij,Inter,D,9,3
De Winter,Milan,D,8,8
Delprato,Parma,D,8,9
Denoon,Pisa,D,2,1
Di Lorenzo,Napoli,D,14,12
Diego Carlos,Como,D,5,7
Dimarco,Inter,D,19,32
Djimsiti,Atalanta,D,8,6
Dodò,Fiorentina,D,11,8
Doig,Sassuolo,D,6,6
Dossena,Cagliari,D,4,1
Dumfries,Inter,D,20,10
Ebosse,Torino,D,4,2
Edmundsson,Verona,D,2,3
Ehizibue,Udinese,D,5,4
Estupinan,Milan,D,11,3
Faye,Cremonese,D,4,2
Floriani Mussolini,Cremonese,D,5,4
Folino,Cremonese,D,4,8
Fortini,Fiorentina,D,3,5
Frese,Verona,D,3,5
Gabbia,Milan,D,6,8
Gallo,Lecce,D,5,8
Garcia U.,Sassuolo,D,3,3
Gaspar K.,Lecce,D,8,4
Gatti,Juventus,D,8,5
Ghilardi,Roma,D,4,6
Gigot,Lazio,D,4,1
Gila,Lazio,D,9,9
Goldaniga,Como,D,4,1
Gosens,Fiorentina,D,18,9
Gutierrez,Napoli,D,8,6
Heggem,Bologna,D,4,7
Helland,Bologna,D,4,3
Hermoso,Roma,D,3,10
Hien,Atalanta,D,11,7
Holm,Juventus,D,8,12
Hysaj,Lazio,D,3,1
Idrissi R.,Cagliari,D,3,10
Idzes,Sassuolo,D,7,8
Ismajli,Torino,D,8,6
Jean,Lecce,D,3,1
Joao Mario,Bologna,D,8,2
Juan Jesus,Napoli,D,3,4
Kabasele,Udinese,D,3,11
Kalulu,Juventus,D,9,15
Kamara H.,Udinese,D,7,5
Kelly L.,Juventus,D,7,11
Kempf,Como,D,5,16
Kolasinac,Atalanta,D,7,4
Kossounou,Atalanta,D,9,7
Kouadio,Fiorentina,D,1,1
Kristensen T.,Udinese,D,5,7
Lamptey,Fiorentina,D,4,1
Lazaro,Torino,D,7,6
Lazzari,Lazio,D,4,4
Lirola,Verona,D,4,4
Lucumì,Bologna,D,8,6
Luperto,Cremonese,D,7,10
Lykogiannis,Bologna,D,5,2
Mancini,Roma,D,11,11
Marcandalli,Genoa,D,3,7
Marianucci,Torino,D,3,3
Maripan,Torino,D,7,12
Martin,Genoa,D,10,13
Marusic,Lazio,D,8,8
Mazzocchi,Napoli,D,3,2
Mina,Cagliari,D,7,9
Miranda J.,Bologna,D,9,10
Mlacic,Udinese,D,3,3
Moreno Alb.,Como,D,3,10
Muharemovic,Sassuolo,D,5,8
N'Dicka,Roma,D,10,7
Ndaba,Lecce,D,1,2
Ndiaye,Parma,D,4,1
Nelsson,Verona,D,5,4
Nkounkou,Torino,D,3,1
Norton-Cuffy,Genoa,D,3,7
Obert,Cagliari,D,4,6
Obrador,Torino,D,6,7
Odogu,Milan,D,2,1
Olivera,Napoli,D,10,3
Ostigard,Genoa,D,5,14
Otoa,Genoa,D,2,1
Oyegoke,Verona,D,2,1
Palestra,Cagliari,D,3,17
Parisi,Fiorentina,D,5,7
Patric,Lazio,D,4,1
Pavlovic,Milan,D,7,15
Pedersen,Torino,D,4,4
Pedro Felipe,Sassuolo,D,1,1
Pellegrini Lu.,Lazio,D,3,5
Perez M.,Lecce,D,1,1
Pezzella Giu.,Cremonese,D,5,4
Pieragnolo,Sassuolo,D,2,1
Pongracic,Fiorentina,D,5,5
Provstgaard,Lazio,D,3,4
Ramon,Como,D,4,13
Ranieri L.,Fiorentina,D,7,5
Raterink,Cagliari,D,1,1
Rensch,Roma,D,5,5
Rodriguez Ju.,Cagliari,D,1,3
Romagna,Sassuolo,D,4,1
Romagnoli,Lazio,D,8,8
Rrahmani,Napoli,D,11,12
Rugani,Fiorentina,D,3,2
Sabelli,Genoa,D,5,2
Scalvini,Atalanta,D,8,15
Siebert,Lecce,D,5,3
Slotsager,Verona,D,2,4
Smolcic I.,Como,D,2,4
Solet,Udinese,D,11,13
Spinazzola,Napoli,D,7,20
Tavares N.,Lazio,D,12,6
Terracciano F.,Cremonese,D,2,10
Tiago Gabriel,Lecce,D,1,9
Tomori,Milan,D,8,8
Troilo,Parma,D,6,1
Tsimikas,Roma,D,4,3
Valenti,Parma,D,4,6
Valentini N.,Verona,D,4,2
Valeri,Parma,D,10,10
Valle,Como,D,6,9
Van Der Brempt,Como,D,4,2
Vasquez,Genoa,D,9,10
Veiga D.,Lecce,D,1,5
Vitik,Bologna,D,8,4
Vojvoda,Como,D,6,12
Walukiewicz,Sassuolo,D,5,5
Wesley,Roma,D,14,15
Zanoli,Udinese,D,3,10
Zappa,Cagliari,D,6,7
Zappacosta,Atalanta,D,13,10
Zatterstrom,Genoa,D,4,3
Zemura,Udinese,D,3,4
Ziolkowski,Roma,D,3,3
Zortea,Bologna,D,16,8
Zè Pedro,Cagliari,D,4,3
Audero,Cremonese,P,5,13
Bijlow,Genoa,P,10,8
Butez,Como,P,10,17
Calligaris,Inter,P,1,1
Caprile,Cagliari,P,7,12
Carnesecchi,Atalanta,P,14,19
Cavlina,Como,P,1,1
Christensen O.,Fiorentina,P,1,1
Ciocci,Cagliari,P,1,1
Contini,Napoli,P,1,1
Corvi,Parma,P,1,11
De Gea,Fiorentina,P,14,10
Di Gennaro,Inter,P,1,1
Di Gregorio,Juventus,P,16,15
Falcone,Lecce,P,6,16
Ferrante,Napoli,P,1,1
Fruchtl,Lecce,P,1,1
Furlanetto,Lazio,P,1,1
Gollini,Roma,P,1,1
Israel,Torino,P,9,1
Leali,Genoa,P,8,10
Lezzerini,Fiorentina,P,1,1
Maignan,Milan,P,16,20
Martinez Jo.,Inter,P,2,1
Meret,Napoli,P,16,8
Milinkovic-Savic V.,Napoli,P,4,17
Montipò,Verona,P,5,10
Motta,Lazio,P,1,1
Muric,Sassuolo,P,3,10
Nava,Cremonese,P,1,1
Nicolas,Pisa,P,1,1
Nunziante,Udinese,P,1,1
Okoye,Udinese,P,6,11
Padelli,Udinese,P,1,3
Paleari,Torino,P,1,9
Perilli,Verona,P,1,2
Perin,Juventus,P,1,2
Pessina Mas.,Bologna,P,1,1
Pinsoglio,Juventus,P,1,1
Provedel,Lazio,P,12,16
Ravaglia F.,Bologna,P,3,9
Rinaldi,Parma,P,1,2
Rossi F.,Atalanta,P,1,1
Samooja,Lecce,P,1,1
Satalino,Sassuolo,P,1,1
Sava,Udinese,P,4,1
Scuffet,Pisa,P,3,3
Semper,Pisa,P,3,9
Sherri,Cagliari,P,1,1
Siegrist,Genoa,P,1,1
Silvestri,Cremonese,P,1,1
Siviero,Torino,P,1,1
Skorupski,Bologna,P,10,10
Sommariva,Genoa,P,1,1
Sommer,Inter,P,16,13
Sportiello,Atalanta,P,1,1
Suzuki,Parma,P,7,8
Svilar,Roma,P,15,19
Terracciano,Milan,P,1,1
Toniolo,Verona,P,1,1
Tornqvist,Como,P,1,1
Torriani,Milan,P,1,1
Turati,Sassuolo,P,7,1
Vigorito,Como,P,1,1
Zelezny,Roma,P,1,1
