Id,Ruolo,RuoloMantra,Giocatore,Squadra,PrezzoAttuale,PrezzoIniziale,FVM
,A,Pc,Martinez L.,Inter,36,34,370
,D,E,Dimarco,Inter,31,19,170
,C,T;A,Pulisic,Milan,30,28,255
,A,A,Yildiz,Juventus,30,24,236
,A,Pc,Thuram,Inter,29,29,228
,A,A,Leao,Milan,28,24,182
,C,T;A,Paz N.,Como,28,20,264
,C,M;C,Calhanoglu,Inter,27,23,223
,C,C;T,Rabiot,Milan,26,23,144
,A,Pc,Davis K.,Udinese,24,12,84
,A,Pc,Douvikas,Como,24,8,71
,A,Pc,Hojlund,Napoli,24,24,181
,C,C;T,McTominay,Napoli,24,26,206
,A,A,Soulè,Roma,24,20,175
,A,A,Berardi,Sassuolo,23,21,90
,A,Pc,Scamacca,Atalanta,23,19,102
,A,Pc,Castro S.,Bologna,22,19,62
,A,Pc,Krstovic,Atalanta,22,20,40
,C,W;A,Orsolini,Bologna,22,30,207
,C,C;T,Zielinski,Inter,22,4,40
,A,Pc,Orban G.,Verona,21,15,39
,A,A,Bonazzoli,Cremonese,20,1,22
,P,Por,Carnesecchi,Atalanta,20,14,72
,C,T,De Bruyne,Napoli,20,23,80
,A,Pc,Esposito F.P.,Inter,20,7,38
,P,Por,Maignan,Milan,20,16,92
,C,C,Modric,Milan,20,12,78
,A,Pc,Pellegrino M.,Parma,20,13,72
,D,Ds;E,Spinazzola,Napoli,20,7,48
,C,T;A,Zaniolo,Udinese,20,11,80
,C,M;C,Mandragora,Fiorentina,19,14,76
,A,A,Nkunku,Milan,19,20,45
,C,E;W,Saelemaekers,Milan,19,12,87
,P,Por,Svilar,Roma,19,15,100
,A,Pc,Vardy,Cremonese,19,15,51
,C,C,Atta,Udinese,18,6,60
,A,A,Laurientè,Sassuolo,18,15,35
,P,Por,Milinkovic-Savic V.,Napoli,18,4,36
,A,A,Moreo,Pisa,18,5,20
,A,Pc,Simeone,Torino,18,8,57
,C,T,Vlasic,Torino,18,15,77
,C,M;C,Zambo Anguissa,Napoli,18,15,67
,A,A,Adams C.,Torino,17,14,37
,D,Dc,Bastoni,Inter,17,16,60
,C,T,Baturina,Como,17,9,43
,A,Pc,Bonny,Inter,17,5,26
,D,Dc,Bremer,Juventus,17,13,72
,P,Por,Butez,Como,17,10,74
,A,A,De Ketelaere,Atalanta,17,22,86
,A,A,Esposito Se.,Cagliari,17,7,57
,C,T;A,Gudmundsson A.,Fiorentina,17,24,74
,A,Pc,Kean,Fiorentina,17,33,127
,C,M;C,Konè I.,Sassuolo,17,6,41
,C,T;A,Odgaard,Bologna,17,16,30
,D,E,Palestra,Cagliari,17,3,79
,P,Por,Provedel,Lazio,17,12,71
,C,C,Barella,Inter,16,14,61
,C,C,Bernabè,Parma,16,11,32
,A,A,Cambiaghi,Bologna,16,11,28
,P,Por,Di Gregorio,Juventus,16,16,67
,A,Pc,Durosinmi,Pisa,16,15,55
,P,Por,Falcone,Lecce,16,6,40
,A,A,Giovane,Napoli,16,1,17
,D,Dc,Kempf,Como,16,5,22
