Id,Ruolo,RuoloMantra,Giocatore,Squadra,PrezzoAttuale,PrezzoIniziale,FVM
6642,D,Dc,Coco,Torino,12,8,15
779,C,M;C,Cristante,Roma,12,9,28
2816,D,Dd;E,Di Lorenzo,Napoli,12,14,37
7008,A,Pc,Gimenez,Milan,12,25,10
5678,D,Dd;E,Holm,Juventus,12,8,18
4263,D,Dc,Kabasele,Udinese,12,3,13
4236,P,Por,Muric,Sassuolo,12,3,14
6462,P,Por,Okoye,Udinese,12,6,12
2077,C,C;T,Pasalic,Atalanta,12,9,21
7129,A,W;A,Rodriguez Je.,Como,12,5,23
4409,D,Dc,Rrahmani,Napoli,12,11,34
6956,D,Dc,Solet,Udinese,12,11,38
2839,C,W;A,Sottil,Lecce,12,11,17
5844,C,C;T,Thorstvedt,Sassuolo,12,8,25
4994,D,Dd;E,Vojvoda,Como,12,6,12
5735,C,W;T,Volpato,Sassuolo,12,5,16
7127,A,W;A,Addai,Como,11,7,13
4159,D,Dc,Akanji,Inter,11,9,51
5792,C,M;C,Ederson D.S.,Atalanta,11,15,34
6815,C,W,Fadera,Sassuolo,11,6,17
6640,C,W,Felici,Cagliari,11,6,10
6766,D,Ds;Dc,Kelly L.,Juventus,11,7,22
2334,C,W,Leris,Pisa,11,2,13
2296,D,Dc,Mancini,Roma,11,11,39
4665,D,Dc,Maripan,Torino,11,7,20
2528,C,M;C,Matic,Sassuolo,11,4,17
5813,C,C;T,Miretti,Juventus,11,5,26
6556,A,A,Noslin,Lazio,11,7,11
6458,C,C,Serdar,Verona,11,5,16
7070,C,C,Sucic P.,Inter,11,9,18
5918,A,A,Sulemana K.,Atalanta,11,9,11
5812,D,Dd;Ds;E,Terracciano F.,Cremonese,11,2,14
7220,D,Dd;E,Belghali,Verona,10,4,20
7219,D,E,Bernasconi,Atalanta,10,1,20
4947,C,C;T,Brescianini,Fiorentina,10,8,28
2724,D,Dc,Buongiorno,Napoli,10,13,17
6039,D,B;Ds;E,Cabal,Juventus,10,5,10
2521,P,Por,De Gea,Fiorentina,10,14,18
5513,D,E,Dumfries,Inter,10,20,25
5506,A,A,Ekuban,Genoa,10,2,11
6020,C,C;W,Ellertsson,Genoa,10,5,14
4686,C,M;C,Fofana Y.,Milan,10,11,27
5791,C,M;C,Frendrup,Genoa,10,9,23
2160,D,E,Gosens,Fiorentina,10,18,23
4807,D,Dc,Hermoso,Roma,10,3,18
7125,D,Ds;E,Idrissi R.,Cagliari,10,3,13
6680,C,M;C,Karlstrom,Udinese,10,6,18
188,P,Por,Leali,Genoa,10,8,2
4287,C,M;C,Lobotka,Napoli,10,9,25
4734,D,Ds;E,Miranda J.,Bologna,10,9,13
2529,C,C;T,Mkhitaryan,Inter,10,9,20
5435,D,Ds;E,Moreno Alb.,Como,10,3,8
7001,A,W;A,N'Dri,Lecce,10,5,10
5336,A,Pc,Nzola,Sassuolo,10,12,12
5298,C,M;C,Pobega,Bologna,10,8,16
536,C,W,Politano,Napoli,10,15,25
5119,C,T,Samardzic,Atalanta,10,12,10
133,P,Por,Skorupski,Bologna,10,10,10
4486,C,W;A,Strefezza,Parma,10,14,30
5514,D,Ds;Dc,Vasquez,Genoa,10,9,24
6981,A,Pc,Vaz,Roma,10,10,20
5527,D,Dd;E,Zanoli,Udinese,10,3,12
6013,D,Dd;Ds;E,Barbieri,Cremonese,9,3,13
7028,C,C,Bernede,Verona,9,4,15
7332,P,Por,Bijlow,Genoa,9,10,11
5520,D,E,Cambiaso,Juventus,9,15,18
6663,D,Dc,Circati,Parma,9,5,15
6662,P,Por,Corvi,Parma,9,1,12
22,C,M;C,De Roon,Atalanta,9,12,34
6664,D,B;Dd;E,Delprato,Parma,9,8,19
6822,A,A,Ekhator,Genoa,9,1,11
5651,C,W,Harrison,Fiorentina,9,10,20
6672,D,Dc,Idzes,Sassuolo,9,7,13
393,D,Dc,Luperto,Cremonese,9,7,17
4210,D,Dc,Mina,Cagliari,9,7,14
4957,P,Por,Montipò,Verona,9,5,2
6314,A,Pc,Openda,Juventus,9,22,18
5320,P,Por,Paleari,Torino,9,1,11
2489,A,A,Pedro,Lazio,9,13,15
4359,A,Pc,Piccoli,Fiorentina,9,17,15
2722,P,Por,Ravaglia F.,Bologna,9,3,8
2861,P,Por,Semper,Pisa,9,3,2
7146,C,E;M,Tourè I.,Pisa,9,6,24
5318,C,W;T,Tramoni M.,Pisa,9,12,23
5862,D,Ds;E,Valeri,Parma,9,10,21
6867,D,Ds;E,Valle,Como,9,6,14
5761,C,W,Zhegrova,Juventus,9,19,15
7143,D,Ds;E,Angori,Pisa,8,5,13
441,A,Pc,Belotti,Cagliari,8,12,30
5888,C,C;T,Casadei,Torino,8,12,21
6643,A,Pc,Dallinga,Bologna,8,10,12
5739,D,Dd;Dc,De Winter,Milan,8,8,12
5885,D,E,Dodò,Fiorentina,8,11,33
6206,C,C;T,Fabbian,Fiorentina,8,10,16
4465,C,C,Fagioli,Fiorentina,8,8,27
7130,D,Dc,Folino,Cremonese,8,4,5
6252,C,C;T,Folorunsho,Cagliari,8,9,14
4401,D,Dc,Gabbia,Milan,8,6,22
801,C,M;C,Gagliardini,Verona,8,2,6
4502,D,Ds;E,Gallo,Lecce,8,5,13
5833,D,Dc,Gila,Lazio,8,9,22
6898,C,M;C,Keita M.,Parma,8,6,14
6836,A,Pc,Meister,Pisa,8,2,13
572,P,Por,Meret,Napoli,8,16,27
6054,C,M;C,Moro N.,Bologna,8,3,11
6630,A,Pc,Mosquera,Verona,8,6,12
7155,D,Dc,Muharemovic,Sassuolo,8,5,20
7198,C,C,Piotrowski,Udinese,8,6,14
460,D,Dc,Romagnoli,Lazio,8,8,21
6844,C,W;T,Rowe,Bologna,8,14,21
6380,A,W;A,Solomon,Fiorentina,8,7,18
6641,P,Por,Suzuki,Parma,8,7,10
6989,D,Dc,Tiago Gabriel,Lecce,8,1,20
4751,D,Dc,Tomori,Milan,8,8,30
4461,D,B;Dd;E,Zappa,Cagliari,8,6,12
554,D,E,Zappacosta,Atalanta,8,13,20
4433,D,E,Zortea,Bologna,8,16,14
4870,C,M;C,Adopo,Cagliari,7,5,14
5784,C,C,Aebischer,Pisa,7,4,12
4772,D,E,Angelino,Roma,7,15,10
5820,D,Dc,Bertola,Udinese,7,6,13
6202,D,Dc,Beukema,Napoli,7,10,11
7255,D,Dd;Ds;E,Britschgi,Parma,7,1,12
7249,A,Pc,Buksa,Udinese,7,9,12
6439,A,Pc,Cheddira,Lecce,7,4,10
6495,D,Dc,Comuzzo,Fiorentina,7,7,16
697,D,E,Cuadrado,Pisa,7,7,8
4137,D,Dc,Diego Carlos,Como,7,5,21
795,C,W,El Shaarawy,Roma,7,8,12
7318,C,C;T,Gandelman,Lecce,7,6,13
7212,D,Ds;Dc,Heggem,Bologna,7,4,18
6046,D,Dc,Hien,Atalanta,7,11,21
5578,D,Dd;Dc,Kossounou,Atalanta,7,9,10
6485,D,Dd;Dc,Kristensen T.,Udinese,7,5,13
7254,C,T,Lorran,Pisa,7,7,13
7331,C,M;C,Loyola,Pisa,7,7,16
5301,C,E;W,Luis Henrique,Inter,7,7,15
6660,D,Dc,Marcandalli,Genoa,7,3,12
2188,D,Dd;Ds;E,Marusic,Lazio,7,8,14
4970,C,C;W,Messias,Genoa,7,8,10
6814,D,Dd;E,Norton-Cuffy,Genoa,7,3,16
5449,D,E,Parisi,Fiorentina,7,5,14
6481,C,C,Payero,Cremonese,7,4,8
7351,C,W;A,Santos A.,Napoli,7,7,15
7252,A,Pc,Stulic,Lecce,7,13,18
6575,C,W;A,Zaragoza,Roma,7,7,15
6593,C,C;T,Akinsanmiro,Pisa,6,3,12
4887,D,E,Bellanova,Atalanta,6,13,16
612,D,Dc,Bianchetti,Cremonese,6,3,12
2832,A,W;A,Boga,Juventus,6,6,13
5992,C,M;C,Bondo,Cremonese,6,3,13
7347,A,A,Bowie,Verona,6,6,13
787,D,Dc,Djimsiti,Atalanta,6,8,15
5851,D,Ds;E,Doig,Sassuolo,6,6,14
4479,C,W;T,Elmas,Napoli,6,11,23
5858,C,C;T,Ferguson,Bologna,6,11,16
7069,D,E,Fortini,Fiorentina,6,3,9
5131,C,M;C,Gilmour,Napoli,6,7,12
5427,D,Ds;E,Gutierrez,Napoli,6,8,10
5010,D,Dc,Ismajli,Torino,6,8,10
7128,A,W;A,Kuhn,Como,6,14,11
4385,D,Dd;E,Lazaro,Torino,6,7,12
6042,D,Dc,Lucumì,Bologna,6,8,12
4317,D,Dc,N'Dicka,Roma,6,10,28
6294,C,M;C,Ndour,Fiorentina,6,2,14
6827,A,A,Njie,Torino,6,1,4
5701,D,Ds;Dc,Obert,Cagliari,6,4,15
7329,D,Ds;E,Obrador,Torino,6,6,15
2728,D,Ds;E,Pellegrini Lu.,Lazio,6,3,11
6549,C,W;A,Pierotti,Lecce,6,10,14
6190,C,C,Pisilli,Roma,6,7,16
6424,C,M;C,Prati,Torino,6,3,12
4378,D,Ds;Dc,Ranieri L.,Fiorentina,6,7,10
479,A,Pc,Sanabria,Cremonese,6,7,10
7209,C,C,Sorensen O.,Parma,6,6,11
5620,D,Ds;E,Tavares N.,Lazio,6,12,10
5307,D,Dc,Valenti,Parma,6,4,14
7223,C,W;T,Vergara,Napoli,6,1,23
4374,D,Dd;Dc,Walukiewicz,Sassuolo,6,5,13
608,A,Pc,Zapata D.,Torino,6,20,14
5998,C,E;W,Zerbin,Cremonese,6,3,10
513,D,Dc,Acerbi,Inter,5,9,10
6916,D,B;Ds;E,Ahanor,Atalanta,5,6,12
7341,C,M;C,Amorim,Genoa,5,5,11
5823,C,T;A,Baldanzi,Genoa,5,8,24
184,C,W;A,Bernardeschi,Bologna,5,9,12
5532,D,Ds;E,Bradaric,Verona,5,4,11
2745,D,B;Dd;E,Calabresi,Pisa,5,3,7
7139,D,Dc,Canestrelli,Pisa,5,3,12
2273,D,Dc,Caracciolo A.,Pisa,5,4,12
1871,C,M;C,Deiola,Cagliari,5,5,14
5672,A,Pc,Dia,Lazio,5,20,12
6895,A,W;A,Dominguez B.,Bologna,5,9,13
5290,C,M;C,Estevez,Parma,5,2,10
6639,D,Ds;E,Frese,Verona,5,3,12
788,C,M;C,Freuler,Bologna,5,11,16
5831,D,Dc,Gatti,Juventus,5,8,8
6631,D,Dc,Ghilardi,Roma,5,4,12
27,C,M;C,Grassi,Cremonese,5,4,8
6112,C,E;W,Iling Junior,Pisa,5,5,13
5555,D,Ds;E,Kamara H.,Udinese,5,7,15
7349,A,Pc,Kulenovic,Torino,5,5,13
6917,C,M;C,Masini,Genoa,5,5,10
5295,C,C;W,Musah,Atalanta,5,6,11
5540,C,M;C,Niasse,Verona,5,3,10
6984,C,W;A,Ondrejka,Parma,5,13,17
6426,D,Dd;E,Pedersen,Torino,5,4,11
7145,C,E;M,Piccinini G.,Pisa,5,6,12
6394,C,M;C,Ramadani,Lecce,5,6,13
6986,D,B;Dd;E,Rensch,Roma,5,5,10
6159,A,A,Sarr A.,Verona,5,8,8
6024,C,M;C,Sulemana I.,Cagliari,5,4,10
6990,D,Dd;E,Veiga D.,Lecce,5,1,13
7211,D,Dd;E,Athekame,Milan,4,6,8
7253,D,Dc,Bella-Kotchap,Verona,4,6,13
6519,A,Pc,Camarda,Lecce,4,12,8
6047,D,Dd;E,Ehizibue,Udinese,4,5,8
6271,C,M;C,El Aynaoui,Roma,4,9,13
7131,D,Dd;E,Floriani Mussolini,Cremonese,4,5,10
2848,C,C;T,Frattesi,Inter,4,14,10
6632,D,Dc,Gaspar K.,Lecce,4,8,15
6170,C,C,Gineitis,Torino,4,5,11
7157,C,C,Iannoni,Sassuolo,4,1,8
7203,C,C,Jashari,Milan,4,13,11
256,D,Ds;Dc,Juan Jesus,Napoli,4,3,21
2640,D,B;Ds;E,Kolasinac,Atalanta,4,7,14
5685,C,C;T,Koopmeiners,Juventus,4,14,12
2263,D,Dd;E,Lazzari,Lazio,4,4,8
6246,C,M;C,Lipani,Sassuolo,4,4,8
2006,D,B;Dd;E,Lirola,Verona,4,4,11
5457,C,M;C,Maleh,Cremonese,4,6,6
7149,C,M;C,Marin M.,Pisa,4,6,11
7018,D,Dc,Nelsson,Verona,4,5,14
6218,C,W;T;A,Oristanio,Parma,4,12,12
770,D,Ds;E,Pezzella Giu.,Cremonese,4,5,11
5603,D,Dc,Pongracic,Fiorentina,4,5,12
7012,D,Dc,Provstgaard,Lazio,4,3,7
7014,D,Dd;Dc,Smolcic I.,Como,4,2,12
5319,C,C,Sohm,Bologna,4,12,10
7344,A,Pc,Stojilkovic,Pisa,4,4,11
4890,C,M;C,Tameze,Torino,4,5,9
5168,D,Ds;E,Tsimikas,Roma,4,4,9
7068,D,Dc,Vitik,Bologna,4,8,13
7335,D,Dc,Zatterstrom,Genoa,4,4,10
7183,A,A,Aboukhlal,Torino,3,9,9
6677,C,C;T,Adzic,Juventus,3,1,1
7010,C,M;C,Al-Musrati,Verona,3,4,7
6207,A,W;A,Almqvist,Parma,3,4,10
6889,C,C;T,Anjorin,Torino,3,10,10
7036,C,C;T,Bakola,Sassuolo,3,3,8
7161,A,Pc,Bayo V.,Udinese,3,4,8
6191,C,M;C,Belahyane,Lazio,3,4,7
322,D,Dc,De Vrij,Inter,3,9,10
6629,C,C;T,Dele-Bashiru,Lazio,3,11,10
6967,A,W;A,Diao,Como,3,17,14
5273,D,Ds;E,Estupinan,Milan,3,11,10
6550,D,B;Ds;E,Garcia U.,Sassuolo,3,3,8
5688,C,W;T,Harroui,Verona,3,7,12
7326,D,Dd;Dc,Helland,Bologna,3,4,9
5007,C,C,Ilic,Torino,3,7,8
6005,C,C;T,Ilkhan,Torino,3,1,10
5850,C,C,Lovric,Verona,3,9,12
4896,C,T;A,Maldini,Lazio,3,9,18
6809,D,Dc,Marianucci,Torino,3,3,12
7208,C,M;C,Miller L.,Udinese,3,3,14
7356,D,Dc,Mlacic,Udinese,3,3,8
313,A,Pc,Morata,Como,3,18,12
4349,C,M;C,Nicolussi Caviglia,Parma,3,9,14
5840,D,Ds;E,Olivera,Napoli,3,10,9
543,P,Por,Padelli,Udinese,3,1,1
218,P,Por,Perin,Juventus,3,1,1
5338,P,Por,Rinaldi,Parma,3,1,1
7268,D,Ds;Dc,Rodriguez Ju.,Cagliari,3,1,10
4459,C,M;C,Rovella,Lazio,3,8,12
4284,C,M;C,Sergi Roberto,Como,3,4,10
7240,D,Dc,Siebert,Lecce,3,5,6
7011,D,Dc,Slotsager,Verona,3,2,9
6957,D,Dc,Valentini N.,Verona,3,4,10
6211,D,Ds;E,Zemura,Udinese,3,3,8
7260,D,Dc,Ziolkowski,Roma,3,3,12
7274,D,Dc,Zè Pedro,Cagliari,3,4,10
5286,C,M;C,Akpa Akpro,Verona,2,1,6
388,D,Dc,Albiol,Pisa,2,5,9
252,D,Ds;E,Biraghi,Torino,2,8,5
6219,C,M;C,Boloca,Sassuolo,2,6,4
6985,D,Ds;Dc,Candè,Sassuolo,2,6,5
6149,D,Ds;E,Carboni F.,Parma,2,2,4
5498,D,Dc,Casale,Bologna,2,4,7
1891,D,Dd;Dc,Ceccherini,Cremonese,2,4,8
7222,D,Dd;Ds;E,Cham,Verona,2,1,6
7132,C,M;C,Collocolo,Cremonese,2,8,13
7140,D,Dc,Coppola F.,Pisa,2,1,4
4677,C,W,Cornet,Genoa,2,7,5
2525,D,B;Dd;E,Darmian,Inter,2,4,7
487,D,Dd;E,De Silvestri,Bologna,2,4,8
5471,A,Pc,Djuric,Cremonese,2,9,10
5994,D,Ds;Dc,Ebosse,Torino,2,4,7
7352,D,Dc,Edmundsson,Verona,2,2,5
6870,D,Dc,Faye,Cremonese,2,4,5
6010,C,C;T,Fazzini,Fiorentina,2,11,8
7248,C,M;C,Gorter,Lecce,2,1,1
7272,A,Pc,Gueye,Udinese,2,1,1
5872,C,C;T,Helgason,Lecce,2,8,7
7309,A,Pc,Isaac,Verona,2,1,1
7179,P,Por,Israel,Torino,2,9,1
7357,C,C;T,Lahdo,Como,2,2,9
2653,D,Ds;E,Lykogiannis,Bologna,2,5,10
5481,D,Dd;Ds;E,Mazzocchi,Napoli,2,3,3
7158,A,Pc,Moro L.,Sassuolo,2,1,1
6555,A,Pc,Moumbagna,Cremonese,2,6,9
7182,D,Ds;E,Ndaba,Lecce,2,1,8
6538,C,M;C,Onana J.,Genoa,2,2,4
7138,C,M;C,Ordonez C.,Parma,2,5,10
6977,D,Dc,Otoa,Genoa,2,2,9
511,P,Por,Perilli,Verona,2,1,5
7345,C,W;T,Przyborek,Lazio,2,2,6
294,D,Dc,Rugani,Fiorentina,2,3,10
791,D,Dd;Ds;E,Sabelli,Genoa,2,5,10
5788,C,T,Sabiri,Fiorentina,2,2,4
574,P,Por,Scuffet,Pisa,2,3,6
7235,D,Dc,Troilo,Parma,2,6,8
6896,D,Dd;E,Van Der Brempt,Como,2,4,8
6980,C,W,Venturino,Roma,2,3,13
5610,C,M;C,Vranckx,Sassuolo,2,4,10
7150,C,C,Vural,Pisa,2,3,6
6212,C,M;C,Zarraga,Udinese,2,2,6
7338,A,A,Albarracin,Cagliari,1,1,1
7277,A,Pc,Arena A.,Roma,1,1,1
7312,D,Ds;E,Arizala,Udinese,1,1,1
7262,A,A,Balentien,Milan,1,1,1
7325,D,Dc,Bozhinov,Pisa,1,2,9
7042,P,Por,Calligaris,Inter,1,1,1
7261,P,Por,Cavlina,Como,1,1,1
6403,P,Por,Christensen O.,Fiorentina,1,1,1
4929,P,Por,Ciocci,Cagliari,1,1,1
2845,P,Por,Contini,Napoli,1,1,1
6665,D,Dd;Ds;E,Coulibaly W.,Sassuolo,1,3,4
7276,C,C,Cremaschi,Parma,1,5,8
7196,D,Dc,Denoon,Pisa,1,2,4
1926,P,Por,Di Gennaro,Inter,1,1,1
6274,C,C,Diouf,Inter,1,7,10
6230,D,Dc,Dossena,Cagliari,1,4,5
7342,A,Pc,Elphege,Parma,1,1,1
7285,P,Por,Ferrante,Napoli,1,1,1
7319,C,M;C,Fofana Sa.,Lecce,1,1,2
7213,A,Pc,Frigan,Parma,1,7,7
2401,P,Por,Fruchtl,Lecce,1,1,1
6417,P,Por,Furlanetto,Lazio,1,1,1
5899,D,Dc,Gigot,Lazio,1,4,3
418,D,Dc,Goldaniga,Como,1,4,6
610,P,Por,Gollini,Roma,1,1,1
7147,C,M;C,Hojholt,Pisa,1,1,2
140,D,Dd;Ds;E,Hysaj,Lazio,1,3,4
6883,D,Dc,Jean,Lecce,1,3,3
7175,D,E,Joao Mario,Bologna,1,8,8
7238,D,Dc,Kouadio,Fiorentina,1,1,1
6351,D,Dd;Ds;E,Lamptey,Fiorentina,1,4,5
158,P,Por,Lezzerini,Fiorentina,1,1,1
7165,C,M;C,Liteta,Cagliari,1,1,6
6645,C,T,Marchwinski,Lecce,1,1,2
5116,P,Por,Martinez Jo.,Inter,1,2,1
2012,A,Pc,Milik,Juventus,1,1,5
7337,P,Por,Motta,Lazio,1,1,1
6505,P,Por,Nava,Cremonese,1,1,1
7202,D,Dc,Ndiaye,Parma,1,4,8
7322,C,M;C,Ngom,Lecce,1,1,1
2271,P,Por,Nicolas,Pisa,1,1,1
5156,D,Ds;E,Nkounkou,Torino,1,3,8
7185,P,Por,Nunziante,Udinese,1,1,1
7271,D,Dc,Odogu,Milan,1,2,5
5515,A,A,Okereke,Cremonese,1,5,3
6992,D,B;Dd;E,Oyegoke,Verona,1,2,4
327,D,Dd;Dc,Patric,Lazio,1,4,5
247,A,Pc,Pavoletti,Cagliari,1,1,3
7353,D,Dc,Pedro Felipe,Sassuolo,1,1,3
7164,D,Dd;Dc,Perez M.,Lecce,1,1,2
7172,P,Por,Pessina Mas.,Bologna,1,1,1
7156,D,Ds;E,Pieragnolo,Sassuolo,1,2,3
1930,P,Por,Pinsoglio,Juventus,1,1,1
7346,D,Dd;E,Raterink,Cagliari,1,1,1
2279,D,Dc,Romagna,Sassuolo,1,4,8
2297,P,Por,Rossi F.,Atalanta,1,1,1
7246,C,C,Sala A.,Lecce,1,3,9
6523,P,Por,Samooja,Lecce,1,1,1
2127,P,Por,Satalino,Sassuolo,1,1,1
6842,P,Por,Sava,Udinese,1,4,1
6650,P,Por,Sherri,Cagliari,1,1,1
6991,P,Por,Siegrist,Genoa,1,1,1
2211,P,Por,Silvestri,Cremonese,1,1,1
7363,P,Por,Siviero,Torino,1,1,1
219,P,Por,Sommariva,Genoa,1,1,1
4,P,Por,Sportiello,Atalanta,1,1,1
5561,C,W;T,Stengs,Pisa,1,11,13
6486,C,W;T,Suslov,Verona,1,9,14
2815,P,Por,Terracciano,Milan,1,1,1
7236,P,Por,Toniolo,Verona,1,1,1
7301,P,Por,Tornqvist,Como,1,1,1
6813,P,Por,Torriani,Milan,1,1,1
7317,A,Pc,Trepy,Cagliari,1,1,1
4867,P,Por,Turati,Sassuolo,1,7,1
2809,P,Por,Vigorito,Como,1,1,1
7169,P,Por,Zelezny,Roma,1,1,1
